"Average","Biraben","Blaxter","Clark","Deevey","Durand High","Durand Low","Kremer","McEvedy and Jones 1978","UN","Year"
"0.125","null","null","null","0.125","null","null","null","null","null","-1000000"
"1","null","null","null","1","null","null","null","null","null","-300000"
"3.34","null","null","null","3.34","null","null","null","null","null","-25000"
"4","null","null","null","null","null","null","null","4","null","-10000"
"5.32","null","null","null","5.32","null","null","null","null","null","-8000"
"22.5","null","40","null","null","null","null","null","5","null","-5000"
"46.75","null","null","null","86.5","null","null","null","7","null","-4000"
"14","null","null","null","null","null","null","null","14","null","-3000"
"27","null","null","null","null","null","null","null","27","null","-2000"
"70","null","70","null","null","null","null","null","null","null","-1600"
"50","null","null","null","null","null","null","null","50","null","-1000"
"100","null","100","null","null","null","null","null","null","null","-800"
"100","null","null","null","null","null","null","null","100","null","-500"
"157.5","153","162","null","null","null","null","null","null","null","-400"
"202","225","231","null","null","null","null","null","150","null","-200"
"235","252","255","null","133","330","270","null","170","null","1"
"256","null","null","256","null","null","null","null","null","null","14"
"234.333333333","257","256","null","null","null","null","null","190","null","200"
"254","null","null","254","null","null","null","null","null","null","350"
"200.666666667","206","206","null","null","null","null","null","190","null","400"
"198.5","207","null","null","null","null","null","null","190","null","500"
"212.75","208","206","237","null","null","null","null","200","null","600"
"207.666666667","206","207","null","null","null","null","null","210","null","700"
"232.25","224","224","261","null","null","null","null","220","null","800"
"229.333333333","222","226","null","null","null","null","null","240","null","900"
"278.666666667","253","254","280","null","345","275","null","265","null","1000"
"306.666666667","299","301","null","null","null","null","null","320","null","1100"
"386","400","400","384","null","null","null","null","360","null","1200"
"417","417","null","null","null","null","null","null","null","null","1250"
"407.666666667","431","432","null","null","null","null","null","360","null","1300"
"410","442","null","378","null","null","null","null","null","null","1340"
"366.333333333","375","374","null","null","null","null","null","350","null","1400"
"458.833333333","461","460","427","null","540","440","null","425","null","1500"
"550","578","579","498","null","null","null","null","545","null","1600"
"535.333333333","null","null","516","545","null","null","null","545","null","1650"
"652.5","680","679","641","null","null","null","null","610","null","1700"
"751.428571429","771","770","731","728","805","735","null","720","null","1750"
"920.8","954","954","890","906","null","null","null","900","null","1800"
"1218","1241","1241","1190","null","null","null","null","1200","null","1850"
"1325","null","null","null","null","null","null","null","1325","null","1875"
"1647.14285714","1634","1633","1668","1610","1710","1650","null","1625","null","1900"
"1813","null","null","null","null","null","null","1813","null","null","1920"
"2000","null","null","null","null","null","null","null","2000","null","1925"
"1987","null","null","null","null","null","null","1987","null","null","1930"
"2213","null","null","null","null","null","null","2213","null","null","1940"
"2495","2530","2513","null","2400","null","null","2516","null","2516","1950"
"2626","null","null","null","null","null","null","null","2500","2752","1955"
"3019.5","null","null","null","null","null","null","3019","null","3020","1960"
"3336","null","null","null","null","null","null","null","null","3336","1965"
"3676","3637","null","null","null","null","null","3693","null","3698","1970"
"3957.25","null","null","null","null","3950","3900","null","3900","4079","1975"
"4437.66666667","null","4415","null","null","null","null","4450","null","4448","1980"
"4851","null","null","null","null","null","null","null","null","4851","1985"
"5312.5","null","null","null","null","null","null","5333","null","5292","1990"
